event_id	username	verb	starttime	endtime	object	target	location	context	originalrequest	timestamp
89887	Erik Duval	commented	2013-04-09T14:13:55Z	(null) 	http://igchi.wordpress.com/2013/04/09/overview-actions-and-screens/comment-page-1/#comment-47	(null)	(null)	chikul13	This is what we typically call a screen transition diagram &#8211; it does indeed help to clarify the &#8216;flow&#8217; in the application&#8230; Maybe other groups could post a similar diagram?</p> 	2013/04/09 02:16:03 PM
89984	srousseeuw	commented	2013-04-09T16:04:27Z	(null) 	http://igchi.wordpress.com/2013/04/09/overview-actions-and-screens/comment-page-1/#comment-48	(null)	(null)	chikul13	You guys used a special tool to build the transition diagram?</p> 	2013/04/09 04:17:25 PM
90016	Joris Schelfaut	commented	2013-04-09T16:52:45Z	(null) 	http://igchi.wordpress.com/2013/04/09/overview-actions-and-screens/comment-page-1/#comment-49	(null)	(null)	chikul13	"This one was made in Dia (<a href=""http://projects.gnome.org/dia/"" rel=""nofollow"">http://projects.gnome.org/dia/</a>)</p> "	2013/04/09 05:02:55 PM
93014	simonchuptys	commented	2013-04-12T10:08:51Z	(null) 	http://igchi.wordpress.com/2013/04/09/overview-actions-and-screens/comment-page-1/#comment-52	(null)	(null)	chikul13	This looks like a pretty essential step in the process of designing a user interface&#8230; Why didn&#8217;t we do this earlier (i think it would have really sped up the paper-prototype creation phase)? Thanks for sharing this!</p> 	2013/04/12 10:14:57 AM
93075	Erik Duval	commented	2013-04-12T11:32:57Z	(null) 	http://igchi.wordpress.com/2013/04/09/overview-actions-and-screens/comment-page-1/#comment-53	(null)	(null)	chikul13	Glad you like the technique too &#8211; we didn&#8217;t do this earlier, but, as I mentioned earlier, now would be a good time to work on this kind of diagram&#8230;</p> 	2013/04/12 11:45:53 AM
93150	tdbuyser	commented	2013/04/12 12:59:51 PM	(null) 	http://lpg13.wordpress.com/2013/03/27/test-our-digital-prototype/comment-page-1/#comment-77	(null)	(null)	chikul13	<p>I liked it <img src='https://s0.wp.com/wp-includes/images/smilies/icon_smile.gif' alt=':-)' class='wp-smiley' /> Although I have a little remark about the feedback page. When I clicked on the button, it opens a new page, but there I cannot immediately see a &#8216;go-back&#8217;-button in the left upper corner like all the other screens have (the same buttons as on most iOS applications). This was bothering me because I just wanted to take a look to the page behind that button and go back to the application again. I would like it if the google plugin-page is more integrated into the layout of the application: so that for example the blue upper-bar is still visible when giving feedback (including a &#8216;go-back&#8217;-button).</p> 	2013/04/12 01:01:40 PM
93198	tdbuyser	commented	2013-04-12T13:55:29Z	(null) 	http://chinterest.wordpress.com/2013/03/27/digital-testing/comment-page-1/#comment-62	(null)	(null)	chikul13	<p>I got a few remarks:<br /> - When I push on the buttons from me of for me, I just get an empty screen. If this is normal because I&#8217;ve never recommend something before, it would be useful to display a little sentence like: &#8220;You have never recommend something yet.&#8221; I think that just an empty screen can give the user a feeling that the application is not responding. Or what do you think about this?<br /> - a little bug: when I want to recommend something, the comment textfield states that I have still 140 characters left. When I add one more char to the field, the counter is lowered to 54 <img src='https://s2.wp.com/wp-includes/images/smilies/icon_razz.gif' alt=':-P' class='wp-smiley' /><br /> - On the home screen is a button with a configuration icon. Does it still need to be implemented? (it does nothing when clicking on it)</p> 	2013/04/12 02:02:29 PM
96320	Michael Gobbers	commented	2013-04-15T10:47:44Z	(null) 	http://teamschi.wordpress.com/2013/04/13/recap-iteration-2/comment-page-1/#comment-43	(null)	(null)	chikul13	<p>Hey nice post. The last conclusion doesn&#8217;t quite convince met tough. I know that the assignment was only to test 3 persons and that makes it hard to see if a result is not representative or not. Do you plan to do this test again on a larger test group in a later iteration to see if it still may be a problem or do you expect this to not be a problem? 1 out of 3 seen in percentages is still a large amount <img src='https://s1.wp.com/wp-includes/images/smilies/icon_wink.gif' alt=';)' class='wp-smiley' /> </p> 	2013/04/15 10:47:55 AM
96339	Michael Gobbers	commented	2013-04-15T10:57:35Z	(null) 	http://hatchi13.wordpress.com/2013/04/11/solutions/comment-page-1/#comment-57	(null)	(null)	chikul13	<p>We had the exact same problem with the login screen. And we solved it the exact same way. I&#8217;m curious to see what your results we&#8217;re with the solution.</p> 	2013/04/15 11:03:02 AM
96340	Michael Gobbers	commented	2013-04-15T11:00:52Z	(null) 	http://igchi.wordpress.com/2013/04/09/overview-actions-and-screens/comment-page-1/#comment-55	(null)	(null)	chikul13	It would actually be nice to have some visual representation of each screen. Something like the storyboarding view for IOS development. did you research a tool that could maybe do this? It could make the diagram a lot clearer.</p> <p>Anyway I like the idea about the diagram.</p> 	2013/04/15 11:03:03 AM
96341	Michael Gobbers	commented	2013-04-15T10:54:37Z	(null) 	http://chiconcarne.wordpress.com/2013/04/09/evaluating-first-digital-prototype/comment-page-1/#comment-24	(null)	(null)	chikul13	<p>[offtopic]<br /> Lol love the fact that there is no english equivalent of the word Frituur <img src='https://s0.wp.com/wp-includes/images/smilies/icon_biggrin.gif' alt=':D' class='wp-smiley' /> Made me laugh<br /> [/offtopic]</p> <p>But leaving that aside. I would love to see a screenshot of the first implementation of the positive, negative comments bar. (The one with the splitpoint). I also seem to like the idea of using such an implementation, therefore I wonder why it would&#8217;t work.</p> 	2013/04/15 11:03:04 AM
96539	Sven Charleer	commented	2013-04-15T15:01:21Z	(null) 	http://chiconcarne.wordpress.com/2013/04/09/evaluating-first-digital-prototype/comment-page-1/#comment-25	(null)	(null)	chikul13	<p>The closest English term is a &#8220;chip shop&#8221;. British English that is.</p> <p>As for &#8220;stem&#8221;, it also confuses me. Have you considered &#8220;beoordeel&#8221;?</p> 	2013/04/15 03:05:46 PM
96555	Gert van Wijn	commented	2013-04-15T15:19:08Z	(null) 	http://lpg13.wordpress.com/2013/04/12/iteration-2-creating-the-digital-prototype/comment-page-1/#comment-79	(null)	(null)	chikul13	<p>It is displayed on the login-screen.</p> 	2013/04/15 03:20:52 PM
